"Lake","Species","Morph_ID","Morph_zone","Morph_diet","Source","Evidence"
"Tay","Salvelinus_alpinus","Tay_large","pelagic","planktivore","122A","morphology; growth curves; stable isotopes"
"Tay","Salvelinus_alpinus","Tay_small","littoral/benthic","benthivore","122A","morphology; growth curves; stable isotopes"
"Temiscouata","Coregonus_clupeaformis","Temiscouata_dwarf","pelagic","","108B","gill rakers; morphology; description in 108B"
"Temiscouata","Coregonus_clupeaformis","Temiscouata_norm","littoral/benthic","","108B","gill rakers; morphology; description in 108B"
"Thingvalla","Salvelinus_alpinus","Thingvalla_LB","littoral/benthic","benthivore","331A","morphology; location of capture; stomach contents"
"Thingvalla","Salvelinus_alpinus","Thingvalla_PI","","piscivore","331A","morphology; location of capture; stomach contents"
"Thingvalla","Salvelinus_alpinus","Thingvalla_PL","pelagic","planktivore","331A","morphology; location of capture; stomach contents"
"Thingvalla","Salvelinus_alpinus","Thingvalla_SB","littoral/benthic","benthivore","331A","morphology; location of capture; stomach contents"
"Timerliit2","Salvelinus_alpinus","Timerliit2_G","","omnivore","01C","mix of ecological, morphological, behavioural traits"
"Timerliit2","Salvelinus_alpinus","Timerliit2_LB","littoral/benthic","benthivore","01C","mix of ecological, morphological, behavioural traits"
